,ID,number,1_xa,1_ya,1_xb,1_yb,1_xc,1_yc,1_file_name,1_time,2_xa,2_ya,2_xb,2_yb,2_xc,2_yc,2_file_name,2_time,3_xa,3_ya,3_xb,3_yb,3_xc,3_yc,3_file_name,3_time,4_xa,4_ya,4_xb,4_yb,4_xc,4_yc,4_file_name,4_time,5_xa,5_ya,5_xb,5_yb,5_xc,5_yc,5_file_name,5_time,6_xa,6_ya,6_xb,6_yb,6_xc,6_yc,6_file_name,6_time,7_xa,7_ya,7_xb,7_yb,7_xc,7_yc,7_file_name,7_time
0,2,1,1.0,0.0,0.0,1.0,0.0,0.0,,2015-01-16_09-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,test_cognitive_motor,2,1.0,0.0,0.0,1.1,0.0,0.0,test_cognitive_motor_ventures_baseline_2015-01-19_20-14-17,2015-01-19_20-15-10,1.0,0.0,0.0,1.1,0.0,0.0,test_cognitive_motor_ventures_baseline_2015-01-19_20-19-40,2015-01-19_20-19-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,test_motor,1,0.98364181274872542,-0.032633278327479767,0.0036746595349405804,0.96743859094326268,0.0036746595349405804,-0.032633278327479767,test_motor_ventures_baseline_2015-01-27_19-18-04,2015-01-27_19-18-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LP,3,0.02806949105180781,-0.20346255264973448,-0.10173489279408521,0.098440592464037496,-0.10173489279408521,-0.20346255264973448,LP_ventures_baseline_2015-02-02_11-29-33,2015-02-02_11-30-17,0.035819132939155132,-0.21289561392435286,-0.042307100765290227,0.12943351946429812,-0.042307100765290227,-0.21289561392435286,LP_ventures_baseline_2015-02-03_11-13-40,2015-02-03_11-14-24,0.016249187927200016,-0.16813978373866253,-0.030898481550264395,0.10472029752939935,-0.030898481550264395,-0.16813978373866253,LP_ventures_baseline_2015-02-04_08-18-28,2015-02-04_08-19-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ML,4,0.052883738382367783,-0.38012606262316928,-0.055768731170874906,0.10286764079149537,-0.055768731170874906,-0.38012606262316928,ML_ventures_baseline_2015-02-02_08-49-26,2015-02-02_08-50-19,0.085972585051753356,-0.41451525777450382,-0.0082656834753819502,0.11919931232523016,-0.0082656834753819502,-0.41451525777450382,ML_ventures_baseline_2015-02-03_08-15-41,2015-02-03_08-16-48,0.028279468566628829,-0.44295924690277677,0.022965564174216753,0.21189989886066918,0.022965564174216753,-0.44295924690277677,ML_ventures_baseline_2015-02-04_11-53-41,2015-02-04_11-54-18,0.01993416307592686,-0.36356095482890166,0.024716601917062823,0.10460026148696051,0.024716601917062823,-0.36356095482890166,ML_ventures_baseline_2015-02-04_11-55-14,2015-02-04_11-55-51,,,,,,,,,,,,,,,,,,,,,,,,
5,SC,5,0.033766280698332186,-0.30417059872848967,-0.04238784882490404,0.091728623595017766,-0.04238784882490404,-0.30417059872848967,SC_ventures_baseline_2015-02-06_20-01-06,2015-02-06_20-02-51,0.043952811153205519,-0.34792147241495297,-0.01562581175680022,0.082909503809557139,-0.01562581175680022,-0.34792147241495297,SC_ventures_baseline_2015-02-07_09-04-15,2015-02-07_09-05-32,0.10579136694543365,-0.29777273308861646,0.014970883301591322,0.20567365489018105,0.014970883301591322,-0.29777273308861646,SC_ventures_baseline_2015-02-07_14-27-01,2015-02-07_14-28-22,0.088992451390281307,-0.27354024215312367,-0.037711507474782642,0.15716948986254625,-0.037711507474782642,-0.27354024215312367,SC_ventures_baseline_2015-02-08_09-07-09,2015-02-08_09-07-54,0.025054459414321766,-0.25327895015534363,-0.016953779334688907,0.12463817821604242,-0.016953779334688907,-0.25327895015534363,SC_ventures_baseline_2015-02-08_14-27-11,2015-02-08_14-27-54,,,,,,,,,,,,,,,,
6,MC,6,0.016848506457976118,-0.30670222384603446,-0.018171893302737118,0.06939726173089765,-0.018171893302737118,-0.30670222384603446,MC_ventures_baseline_2015-02-07_10-14-53,2015-02-07_10-15-37,0.064651021305672685,-0.17830879269428729,-0.047179364988850336,0.075018882987862121,-0.047179364988850336,-0.17830879269428729,MC_ventures_baseline_2015-02-07_13-07-13,2015-02-07_13-07-55,0.039264410575458333,-0.38560070530279267,-0.0063850162582919836,0.075382880059468291,-0.0063850162582919836,-0.38560070530279267,MC_ventures_baseline_2015-02-07_18-34-25,2015-02-07_18-35-02,0.037363415139418328,-0.25917925292163196,-0.040008925568240157,0.10973571758727654,-0.040008925568240157,-0.25917925292163196,MC_ventures_baseline_2015-02-08_10-43-49,2015-02-08_10-44-55,0.14818550230768629,-0.30144376715848326,-0.065190541200104146,0.11798393568277252,-0.065190541200104146,-0.30144376715848326,MC_ventures_baseline_2015-02-08_13-31-50,2015-02-08_13-32-27,0.04340136573856887,-0.35255361356438747,-0.018805471457426469,0.10166037273167382,-0.018805471457426469,-0.35255361356438747,MC_ventures_baseline_2015-02-08_16-04-14,2015-02-08_16-04-55,,,,,,,,
7,MK,3,0.019659214094839599,-0.26177145063417334,-0.009160317003773644,0.13835954429542333,-0.009160317003773644,-0.26177145063417334,MK_ventures_baseline_2015-02-16_15-39-02,2015-02-16_15-39-49,0.083523455567864641,-0.30276786750938428,0.053411631760174522,0.16304713346158337,0.053411631760174522,-0.30276786750938428,MK_ventures_baseline_2015-02-17_08-30-19,2015-02-17_08-31-04,0.042967071908101596,-0.39706887376704059,0.0063501590984545294,0.12513314449600385,0.0063501590984545294,-0.39706887376704059,MK_ventures_baseline_2015-02-18_08-34-04,2015-02-18_08-34-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MP,3,0.019309377068375651,-0.32632669237218243,0.01420247474814096,0.092816751660427549,0.01420247474814096,-0.32632669237218243,MP_ventures_baseline_2015-02-16_16-36-03,2015-02-16_16-36-43,0.051268880599436351,-0.18012625554432937,-0.031214084903216557,0.16575727562953985,-0.031214084903216557,-0.18012625554432937,MP_ventures_baseline_2015-02-18_09-39-59,2015-02-18_09-40-49,0.044226576470742039,-0.27801184686153729,0.014638745760615288,0.11761855625361603,0.014638745760615288,-0.27801184686153729,MP_ventures_baseline_2015-02-19_15-02-14,2015-02-19_15-02-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JT,3,0.029648825131605057,-0.2092579384951857,0.072605484020293931,0.10359542726706215,0.072605484020293931,-0.2092579384951857,JT_ventures_baseline_2015-02-17_10-04-12,2015-02-17_10-04-45,0.028660079838178885,-0.31357733042806996,0.049900417504240228,0.14980601707148206,0.049900417504240228,-0.31357733042806996,JT_ventures_baseline_2015-02-18_11-27-01,2015-02-18_11-27-39,0.021014434628544548,-0.3658555654223809,0.044815987533935141,0.10524876279802906,0.044815987533935141,-0.3658555654223809,JT_ventures_baseline_2015-02-23_16-28-11,2015-02-23_16-28-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PS,3,0.016647691887375391,-0.055814468663484697,-0.047710816821484939,0.087166422333770144,-0.047710816821484939,-0.055814468663484697,PS_ventures_baseline_2015-02-17_09-39-19,2015-02-17_09-40-07,0.017724427491430519,-0.22772877355845467,0.0058460752722958465,0.11072073378007737,0.0058460752722958465,-0.22772877355845467,PS_ventures_baseline_2015-02-18_09-21-24,2015-02-18_09-22-01,0.015478971607828657,-0.22367439840757108,0.041999554738475602,0.14190357298771636,0.041999554738475602,-0.22367439840757108,PS_ventures_baseline_2015-02-19_17-11-18,2015-02-19_17-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PE23,7,0.014713488359418783,-0.39722313386424396,-0.012824070185700209,0.072962422892587447,-0.012824070185700209,-0.39722313386424396,PE23_ventures_baseline_2015-02-21_12-20-29,2015-02-21_12-21-07,0.010843710755908287,-0.35026423713694793,0.020022480732981109,0.08896273807017159,0.020022480732981109,-0.35026423713694793,PE23_ventures_baseline_2015-03-07_12-07-17,2015-03-07_12-09-10,0.027757917745055358,-0.2003808807795697,0.0016315362751789279,0.09082809037968563,0.0016315362751789279,-0.2003808807795697,PE23_ventures_baseline_2015-03-07_12-09-18,2015-03-07_12-09-57,0.018144955125849526,-0.37333157707271825,-0.02458731634644213,0.12404934656748237,-0.02458731634644213,-0.37333157707271825,PE23_ventures_baseline_2015-03-08_16-34-42,2015-03-08_16-35-41,0.01773403115430203,-0.18029112394845406,-0.010969586581863811,0.11284267692174527,-0.010969586581863811,-0.18029112394845406,PE23_ventures_baseline_2015-03-08_16-35-48,2015-03-08_16-36-22,0.013894028001691257,-0.3547198599457318,-0.01670220375396694,0.052268966096887165,-0.01670220375396694,-0.3547198599457318,PE23_ventures_baseline_2015-03-10_18-19-50,2015-03-10_18-20-58,0.022954515716327367,-0.13032998342035251,-0.0035615947676086732,0.083604016520280391,-0.0035615947676086732,-0.13032998342035251,PE23_ventures_baseline_2015-03-10_18-21-12,2015-03-10_18-21-53
