,ID,alt_ID,session_type,ss,ss_oczy,ss_bacznosc,ss_gabka,ss_poznawcze,dual_stanie,dual_bacznosc,dual_gabka,pre_post,dual
2,AU32,User_A,cognitive,1,1,1,1,1,1,1,1,1,1
3,IJ38,User_B,cognitive,1,0,1,1,1,0,0,0,1,0
4,PE23,User_C,cognitive_motor,1,1,1,1,1,1,1,1,1,1
5,DW25,User_D,cognitive_motor,1,1,1,1,1,1,1,1,1,1
6,IZ29,User_E,cognitive_motor,1,1,1,1,1,1,1,1,1,1
7,BB21,User_F,motor,1,1,1,1,1,1,1,1,1,1
8,MK31,User_G,cognitive,0,0,0,0,0,1,1,1,0,1
9,KJ24,User_H,motor,1,1,0,0,1,1,1,1,1,1
10,TI29,User_I,cognitive_motor,0,0,0,0,0,1,1,1,0,1
13,WS12,User_J,motor,1,1,1,0,1,1,1,1,1,1
14,MS34,User_K,cognitive,1,1,1,1,0,1,1,1,1,1
15,EB56,User_L,cognitive_motor,1,1,1,1,1,1,1,1,1,1
16,WB78,User_M,cognitive_motor,1,0,1,1,1,1,1,1,1,1
17,HA01,User_N,cognitive,1,1,1,1,1,1,1,1,1,1
18,EK02,User_O,cognitive,1,1,1,1,1,1,1,1,1,1
20,TD78,User_P,motor,1,1,1,1,1,1,1,1,1,1
21,TR11,User_Q,cognitive,0,0,0,0,0,0,0,0,0,0
22,GR12,User_R,cognitive,1,1,1,1,0,1,1,1,1,1
23,HZ14,User_S,cognitive,1,1,1,1,1,1,1,1,1,1
25,WT01,User_T,motor,1,1,1,1,1,1,1,1,1,1
26,WK88,User_U,motor,1,1,1,1,0,1,1,0,1,1
27,KK99,User_V,cognitive_motor,1,1,1,1,1,1,1,1,1,1
28,BK05,User_W,motor,0,0,0,0,0,0,0,0,0,0
29,DJ97,User_X,cognitive_motor,1,0,1,0,1,1,1,1,1,1
30,ZA90,User_Y,cognitive_motor,1,1,1,1,1,1,1,1,1,1
32,EW37,User_Z,motor,1,1,1,1,1,1,1,1,1,1
