,ID,number,1_level_up,1_level_down,1_level_left,1_level_right,1_time,2_level_up,2_level_down,2_level_left,2_level_right,2_time,3_level_up,3_level_down,3_level_left,3_level_right,3_time,4_level_up,4_level_down,4_level_left,4_level_right,4_time,5_level_up,5_level_down,5_level_left,5_level_right,5_time,6_level_up,6_level_down,6_level_left,6_level_right,6_time
0,test_cognitive_motor,3,1,1,1,1,2015-02-18_12-20-36,105,105,105,105,2015-02-18_12-39-06,95,95,95,95,2015-02-18_12-42-28,,,,,,,,,,,,,,,
1,LP,3,85,80,95,90,2015-02-02_11-33-53,105,105,105,105,2015-02-03_11-16-46,90,110,110,110,2015-02-04_08-21-49,,,,,,,,,,,,,,,
2,ML,3,100,100,100,100,2015-02-02_08-54-09,105,85,105,100,2015-02-03_08-19-25,105,95,110,110,2015-02-04_11-58-26,105,95,110,110,2015-02-04_11-58-26,,,,,,,,,,
3,SC,5,100,95,105,105,2015-02-06_20-08-28,95,90,110,100,2015-02-07_09-10-14,100,95,100,105,2015-02-07_14-33-14,105,105,110,105,2015-02-08_09-11-16,100,110,110,100,2015-02-08_14-30-16,,,,,
4,MC,6,105,105,105,105,2015-02-07_10-20-42,95,70,100,110,2015-02-07_13-11-59,105,105,115,115,2015-02-07_18-37-09,115,80,120,115,2015-02-08_10-47-33,110,90,120,115,2015-02-08_13-34-44,115,95,120,120,2015-02-08_16-07-06
5,MK,3,100,85,85,95,2015-02-16_15-44-45,100,90,105,85,2015-02-17_08-34-58,115,105,105,100,2015-02-18_08-37-53,,,,,,,,,,,,,,,
6,MP,3,105,75,95,105,2015-02-16_16-40-49,95,90,100,90,2015-02-18_09-44-58,105,90,110,100,2015-02-19_15-07-23,,,,,,,,,,,,,,,
7,JT,3,95,70,85,95,2015-02-17_10-09-39,100,85,105,100,2015-02-18_11-31-40,100,100,110,100,2015-02-23_16-33-24,,,,,,,,,,,,,,,
8,PS,3,105,70,100,100,2015-02-17_09-44-42,100,90,100,100,2015-02-18_09-25-51,110,90,115,100,2015-02-19_17-15-34,,,,,,,,,,,,,,,
9,PE23,2,90.42168674698794,70.42168674698794,95.42168674698794,90.42168674698794,2015-03-07_12-46-19,94.39759036144578,79.39759036144578,99.39759036144578,104.39759036144578,2015-03-08_17-10-30,,,,,,,,,,,,,,,,,,,,
